"","log10_neutR","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5"
"1",-5,5.28841471833488e-07,1.33942158845365e-06,4.57588824266247e-06,5.54892584640301e-05,0.000139451706901274
"2",-4.999,5.30482198557608e-07,1.34357710755884e-06,4.59008445183984e-06,5.56613396724215e-05,0.000139883889026959
"3",-4.998,5.32128015603001e-07,1.34774551891351e-06,4.60432470167148e-06,5.58339543018285e-05,0.00014031740911318
"4",-4.997,5.33778938762157e-07,1.35192686251426e-06,4.61860912877415e-06,5.60071040043343e-05,0.0001407522712932
"5",-4.996,5.35434983876554e-07,1.35612117848175e-06,4.63293787018828e-06,5.61807904371289e-05,0.000141188479712992
"6",-4.995,5.37096166836824e-07,1.36032850706112e-06,4.64731106337941e-06,5.63550152625271e-05,0.000141626038531288
"7",-4.994,5.38762503582892e-07,1.36454888862235e-06,4.66172884623939e-06,5.65297801479822e-05,0.000142064951919608
"8",-4.993,5.40434010104135e-07,1.36878236366065e-06,4.67619135708776e-06,5.67050867661031e-05,0.000142505224062304
"9",-4.992,5.42110702439541e-07,1.37302897279689e-06,4.69069873467312e-06,5.68809367946702e-05,0.000142946859156602
"10",-4.991,5.43792596677853e-07,1.37728875677792e-06,4.70525111817436e-06,5.70573319166508e-05,0.000143389861412632
"11",-4.99,5.45479708957727e-07,1.381561756477e-06,4.71984864720206e-06,5.72342738202149e-05,0.000143834235053477
"12",-4.989,5.47172055467892e-07,1.3858480128942e-06,4.73449146179985e-06,5.74117641987523e-05,0.000144279984315209
"13",-4.988,5.48869652447295e-07,1.39014756715679e-06,4.74917970244566e-06,5.75898047508875e-05,0.000144727113446924
"14",-4.987,5.50572516185269e-07,1.39446046051961e-06,4.76391351005318e-06,5.77683971804967e-05,0.000145175626710791
"15",-4.986,5.52280663021678e-07,1.39878673436549e-06,4.77869302597312e-06,5.79475431967233e-05,0.000145625528382083
"16",-4.985,5.5399410934708e-07,1.40312643020563e-06,4.7935183919946e-06,5.81272445139942e-05,0.000146076822749222
"17",-4.984,5.55712871602887e-07,1.40747958968002e-06,4.80838975034654e-06,5.83075028520372e-05,0.000146529514113819
"18",-4.983,5.57436966281512e-07,1.41184625455782e-06,4.82330724369897e-06,5.84883199358955e-05,0.00014698360679071
"19",-4.982,5.59166409926538e-07,1.41622646673777e-06,4.8382710151644e-06,5.86696974959454e-05,0.000147439105108002
"20",-4.981,5.60901219132874e-07,1.42062026824859e-06,4.85328120829928e-06,5.88516372679125e-05,0.00014789601340711
"21",-4.98,5.62641410546908e-07,1.42502770124938e-06,4.86833796710524e-06,5.90341409928875e-05,0.000148354336042798
"22",-4.979,5.64387000866679e-07,1.42944880803003e-06,4.8834414360306e-06,5.9217210417344e-05,0.00014881407738322
"23",-4.978,5.66138006842024e-07,1.43388363101161e-06,4.89859175997164e-06,5.94008472931536e-05,0.000149275241809961
"24",-4.977,5.67894445274745e-07,1.43833221274682e-06,4.91378908427407e-06,5.95850533776034e-05,0.000149737833718078
"25",-4.976,5.69656333018774e-07,1.44279459592035e-06,4.92903355473441e-06,5.97698304334129e-05,0.00015020185751614
"26",-4.975,5.71423686980327e-07,1.44727082334929e-06,4.94432531760137e-06,5.99551802287501e-05,0.00015066731762627
"27",-4.974,5.73196524118068e-07,1.45176093798358e-06,4.95966451957722e-06,6.01411045372483e-05,0.000151134218484187
"28",-4.973,5.74974861443281e-07,1.4562649829064e-06,4.97505130781929e-06,6.03276051380236e-05,0.000151602564539247
"29",-4.972,5.76758716020016e-07,1.46078300133459e-06,4.99048582994129e-06,6.0514683815691e-05,0.000152072360254483
"30",-4.971,5.78548104965271e-07,1.46531503661903e-06,5.00596823401478e-06,6.07023423603821e-05,0.000152543610106649
"31",-4.97,5.80343045449142e-07,1.46986113224511e-06,5.02149866857055e-06,6.08905825677611e-05,0.00015301631858626
"32",-4.969,5.82143554694994e-07,1.47442133183311e-06,5.03707728260006e-06,6.10794062390428e-05,0.000153490490197635
"33",-4.968,5.83949649979631e-07,1.47899567913864e-06,5.05270422555691e-06,6.12688151810093e-05,0.000153966129458939
"34",-4.967,5.85761348633449e-07,1.48358421805303e-06,5.0683796473582e-06,6.14588112060271e-05,0.000154443240902223
"35",-4.966,5.87578668040612e-07,1.48818699260379e-06,5.084103698386e-06,6.16493961320641e-05,0.000154921829073471
"36",-4.965,5.89401625639221e-07,1.49280404695501e-06,5.09987652948881e-06,6.18405717827076e-05,0.000155401898532637
"37",-4.964,5.9123023892147e-07,1.49743542540778e-06,5.11569829198298e-06,6.20323399871805e-05,0.000155883453853692
"38",-4.963,5.93064525433828e-07,1.50208117240062e-06,5.13156913765418e-06,6.22247025803598e-05,0.000156366499624665
"39",-4.962,5.94904502777193e-07,1.50674133250991e-06,5.14748921875885e-06,6.2417661402793e-05,0.000156851040447682
"40",-4.961,5.96750188607069e-07,1.51141595045032e-06,5.1634586880256e-06,6.26112183007162e-05,0.000157337080939018
"41",-4.96,5.98601600633741e-07,1.51610507107523e-06,5.17947769865683e-06,6.28053751260717e-05,0.00015782462572913
"42",-4.959,6.0045875662243e-07,1.52080873937718e-06,5.19554640433e-06,6.30001337365248e-05,0.000158313679462708
"43",-4.958,6.02321674393474e-07,1.52552700048825e-06,5.21166495919925e-06,6.3195495995482e-05,0.000158804246798712
"44",-4.957,6.041903718225e-07,1.53025989968056e-06,5.22783351789683e-06,6.33914637721091e-05,0.000159296332410422
"45",-4.956,6.06064866840588e-07,1.53500748236667e-06,5.24405223553456e-06,6.35880389413477e-05,0.000159789940985476
"46",-4.955,6.0794517743445e-07,1.53976979410002e-06,5.26032126770536e-06,6.37852233839344e-05,0.000160285077225916
"47",-4.954,6.09831321646599e-07,1.54454688057534e-06,5.27664077048471e-06,6.39830189864173e-05,0.000160781745848233
"48",-4.953,6.11723317575519e-07,1.54933878762916e-06,5.29301090043212e-06,6.41814276411749e-05,0.000161279951583407
"49",-4.952,6.13621183375851e-07,1.55414556124016e-06,5.30943181459275e-06,6.43804512464337e-05,0.000161779699176958
"50",-4.951,6.1552493725855e-07,1.55896724752969e-06,5.32590367049877e-06,6.4580091706286e-05,0.000162280993388981
"51",-4.95,6.17434597491072e-07,1.56380389276214e-06,5.34242662617091e-06,6.4780350930708e-05,0.000162783838994199
"52",-4.949,6.19350182397548e-07,1.56865554334548e-06,5.35900084012008e-06,6.49812308355787e-05,0.000163288240782003
"53",-4.948,6.21271710358953e-07,1.57352224583158e-06,5.37562647134873e-06,6.51827333426965e-05,0.000163794203556498
"54",-4.947,6.23199199813292e-07,1.57840404691676e-06,5.3923036793525e-06,6.53848603797991e-05,0.000164301732136545
"55",-4.946,6.25132669255767e-07,1.58330099344221e-06,5.40903262412167e-06,6.55876138805806e-05,0.000164810831355811
"56",-4.945,6.27072137238959e-07,1.5882131323944e-06,5.42581346614271e-06,6.57909957847102e-05,0.000165321506062809
"57",-4.944,6.29017622373013e-07,1.5931405109056e-06,5.4426463663999e-06,6.59950080378511e-05,0.000165833761120948
"58",-4.943,6.30969143325803e-07,1.59808317625424e-06,5.45953148637674e-06,6.61996525916779e-05,0.000166347601408572
"59",-4.942,6.32926718823118e-07,1.60304117586547e-06,5.47646898805756e-06,6.64049314038959e-05,0.000166863031819012
"60",-4.941,6.34890367648848e-07,1.60801455731154e-06,5.49345903392914e-06,6.66108464382597e-05,0.000167380057260629
"61",-4.94,6.36860108645149e-07,1.61300336831227e-06,5.51050178698213e-06,6.6817399664591e-05,0.000167898682656857
"62",-4.939,6.38835960712641e-07,1.61800765673553e-06,5.52759741071275e-06,6.70245930587985e-05,0.000168418912946253
"63",-4.938,6.40817942810575e-07,1.62302747059768e-06,5.54474606912424e-06,6.72324286028955e-05,0.000168940753082541
"64",-4.937,6.42806073957022e-07,1.62806285806403e-06,5.56194792672849e-06,6.7440908285019e-05,0.000169464208034657
"65",-4.936,6.44800373229057e-07,1.63311386744932e-06,5.57920314854767e-06,6.76500340994493e-05,0.000169989282786799
"66",-4.935,6.46800859762937e-07,1.63818054721817e-06,5.59651190011569e-06,6.78598080466277e-05,0.00017051598233847
"67",-4.934,6.48807552754285e-07,1.64326294598553e-06,5.61387434747987e-06,6.80702321331761e-05,0.000171044311704523
"68",-4.933,6.50820471458283e-07,1.64836111251719e-06,5.63129065720253e-06,6.82813083719165e-05,0.000171574275915214
"69",-4.932,6.52839635189841e-07,1.65347509573018e-06,5.64876099636254e-06,6.84930387818886e-05,0.000172105880016244
"70",-4.931,6.54865063323798e-07,1.65860494469334e-06,5.66628553255699e-06,6.8705425388371e-05,0.000172639129068805
"71",-4.93,6.568967752951e-07,1.66375070862767e-06,5.68386443390271e-06,6.89184702228984e-05,0.000173174028149632
"72",-4.929,6.58934790598981e-07,1.66891243690689e-06,5.70149786903796e-06,6.91321753232817e-05,0.000173710582351044
"73",-4.928,6.60979128791168e-07,1.67409017905789e-06,5.71918600712402e-06,6.93465427336281e-05,0.000174248796780998
"74",-4.927,6.63029809488048e-07,1.67928398476121e-06,5.73692901784678e-06,6.95615745043588e-05,0.00017478867656313
"75",-4.926,6.65086852366867e-07,1.68449390385146e-06,5.7547270714184e-06,6.97772726922297e-05,0.000175330226836809
"76",-4.925,6.67150277165922e-07,1.68971998631791e-06,5.77258033857897e-06,6.99936393603506e-05,0.000175873452757179
"77",-4.924,6.69220103684738e-07,1.69496228230485e-06,5.79048899059805e-06,7.02106765782042e-05,0.00017641835949521
"78",-4.923,6.71296351784276e-07,1.70022084211218e-06,5.80845319927645e-06,7.04283864216669e-05,0.000176964952237747
"79",-4.922,6.73379041387103e-07,1.70549571619579e-06,5.82647313694772e-06,7.0646770973027e-05,0.000177513236187556
"80",-4.921,6.75468192477596e-07,1.71078695516812e-06,5.84454897647992e-06,7.08658323210051e-05,0.000178063216563373
"81",-4.92,6.77563825102136e-07,1.71609460979862e-06,5.86268089127727e-06,7.10855725607747e-05,0.000178614898599953
"82",-4.919,6.79665959369291e-07,1.72141873101422e-06,5.88086905528172e-06,7.13059937939805e-05,0.000179168287548119
"83",-4.918,6.8177461545001e-07,1.72675936989984e-06,5.89911364297471e-06,7.1527098128759e-05,0.000179723388674807
"84",-4.917,6.8388981357783e-07,1.73211657769888e-06,5.91741482937882e-06,7.17488876797595e-05,0.000180280207263123
"85",-4.916,6.86011574049048e-07,1.7374904058137e-06,5.9357727900594e-06,7.19713645681618e-05,0.000180838748612384
"86",-4.915,6.88139917222939e-07,1.74288090580613e-06,5.95418770112636e-06,7.21945309216989e-05,0.000181399018038172
"87",-4.914,6.90274863521931e-07,1.74828812939793e-06,5.97265973923571e-06,7.24183888746752e-05,0.00018196102087238
"88",-4.913,6.92416433431813e-07,1.75371212847134e-06,5.99118908159137e-06,7.26429405679871e-05,0.000182524762463265
"89",-4.912,6.94564647501933e-07,1.75915295506952e-06,6.00977590594685e-06,7.28681881491447e-05,0.000183090248175495
"90",-4.911,6.96719526345383e-07,1.76461066139709e-06,6.02842039060691e-06,7.30941337722899e-05,0.000183657483390201
"91",-4.91,6.98881090639207e-07,1.77008529982062e-06,6.04712271442927e-06,7.33207795982182e-05,0.000184226473505025
"92",-4.909,7.01049361124603e-07,1.77557692286912e-06,6.06588305682641e-06,7.35481277943994e-05,0.00018479722393417
"93",-4.908,7.03224358607107e-07,1.78108558323456e-06,6.08470159776717e-06,7.37761805349967e-05,0.000185369740108454
"94",-4.907,7.05406103956808e-07,1.78661133377236e-06,6.10357851777858e-06,7.40049400008892e-05,0.000185944027475355
"95",-4.906,7.07594618108537e-07,1.79215422750193e-06,6.12251399794751e-06,7.42344083796906e-05,0.000186520091499065
"96",-4.905,7.09789922062074e-07,1.79771431760713e-06,6.14150821992243e-06,7.44645878657711e-05,0.00018709793766054
"97",-4.904,7.11992036882352e-07,1.8032916574368e-06,6.1605613659152e-06,7.46954806602783e-05,0.000187677571457552
"98",-4.903,7.1420098369965e-07,1.80888630050531e-06,6.17967361870275e-06,7.49270889711571e-05,0.000188258998404737
"99",-4.902,7.164167837098e-07,1.814498300493e-06,6.19884516162885e-06,7.51594150131712e-05,0.000188842224033647
"100",-4.901,7.18639458174399e-07,1.82012771124677e-06,6.21807617860591e-06,7.53924610079243e-05,0.000189427253892807
"101",-4.9,7.20869028420995e-07,1.82577458678053e-06,6.23736685411665e-06,7.56262291838805e-05,0.000190014093547756
"102",-4.899,7.23105515843313e-07,1.83143898127578e-06,6.25671737321601e-06,7.5860721776386e-05,0.000190602748581109
"103",-4.898,7.25348941901439e-07,1.83712094908207e-06,6.27612792153276e-06,7.60959410276897e-05,0.000191193224592601
"104",-4.897,7.2759932812204e-07,1.84282054471757e-06,6.29559868527138e-06,7.63318891869645e-05,0.000191785527199144
"105",-4.896,7.2985669609857e-07,1.84853782286957e-06,6.31512985121388e-06,7.65685685103295e-05,0.000192379662034877
"106",-4.895,7.32121067491469e-07,1.854272838395e-06,6.33472160672146e-06,7.68059812608698e-05,0.000192975634751218
"107",-4.894,7.34392464028375e-07,1.86002564632096e-06,6.3543741397364e-06,7.70441297086591e-05,0.000193573451016915
"108",-4.893,7.36670907504338e-07,1.86579630184529e-06,6.37408763878388e-06,7.72830161307808e-05,0.000194173116518105
"109",-4.892,7.3895641978202e-07,1.871584860337e-06,6.39386229297369e-06,7.75226428113494e-05,0.000194774636958358
"110",-4.891,7.41249022791911e-07,1.87739137733693e-06,6.41369829200215e-06,7.77630120415326e-05,0.000195378018058737
"111",-4.89,7.43548738532538e-07,1.88321590855816e-06,6.43359582615386e-06,7.80041261195722e-05,0.000195983265557844
"112",-4.889,7.45855589070669e-07,1.88905850988662e-06,6.45355508630351e-06,7.82459873508062e-05,0.000196590385211881
"113",-4.888,7.48169596541541e-07,1.89491923738162e-06,6.47357626391781e-06,7.84885980476914e-05,0.000197199382794698
"114",-4.887,7.50490783149057e-07,1.90079814727635e-06,6.4936595510572e-06,7.87319605298237e-05,0.000197810264097848
"115",-4.886,7.52819171166e-07,1.90669529597846e-06,6.51380514037775e-06,7.89760771239613e-05,0.000198423034930641
"116",-4.885,7.55154782934263e-07,1.91261074007058e-06,6.53401322513306e-06,7.92209501640464e-05,0.000199037701120197
"117",-4.884,7.57497640865039e-07,1.91854453631086e-06,6.55428399917597e-06,7.94665819912268e-05,0.0001996542685115
"118",-4.883,7.5984776743906e-07,1.92449674163353e-06,6.57461765696061e-06,7.97129749538789e-05,0.000200272742967455
"119",-4.882,7.62205185206792e-07,1.93046741314944e-06,6.59501439354405e-06,7.99601314076291e-05,0.000200893130368938
"120",-4.881,7.64569916788662e-07,1.93645660814659e-06,6.61547440458833e-06,8.02080537153761e-05,0.00020151543661485
"121",-4.88,7.66941984875282e-07,1.94246438409071e-06,6.6359978863623e-06,8.04567442473143e-05,0.000202139667622179
"122",-4.879,7.69321412227648e-07,1.94849079862579e-06,6.65658503574346e-06,8.0706205380955e-05,0.000202765829326046
"123",-4.878,7.71708221677372e-07,1.95453590957464e-06,6.67723605021984e-06,8.09564395011489e-05,0.000203393927679765
"124",-4.877,7.74102436126904e-07,1.96059977493945e-06,6.69795112789199e-06,8.12074490001102e-05,0.000204023968654897
"125",-4.876,7.76504078549734e-07,1.96668245290231e-06,6.71873046747476e-06,8.14592362774369e-05,0.000204655958241303
"126",-4.875,7.78913171990635e-07,1.97278400182586e-06,6.73957426829928e-06,8.17118037401356e-05,0.000205289902447205
"127",-4.874,7.81329739565867e-07,1.97890448025372e-06,6.76048273031484e-06,8.19651538026429e-05,0.000205925807299234
"128",-4.873,7.83753804463404e-07,1.98504394691116e-06,6.78145605409079e-06,8.22192888868485e-05,0.000206563678842493
"129",-4.872,7.86185389943163e-07,1.99120246070561e-06,6.80249444081853e-06,8.24742114221188e-05,0.000207203523140608
"130",-4.871,7.88624519337213e-07,1.99738008072724e-06,6.82359809231335e-06,8.27299238453186e-05,0.000207845346275786
"131",-4.87,7.91071216050019e-07,2.00357686624953e-06,6.84476721101646e-06,8.29864286008357e-05,0.000208489154348872
"132",-4.869,7.93525503558643e-07,2.00979287672982e-06,6.86600199999681e-06,8.32437281406024e-05,0.000209134953479403
"133",-4.868,7.95987405412986e-07,2.01602817180991e-06,6.88730266295313e-06,8.35018249241197e-05,0.000209782749805666
"134",-4.867,7.98456945236013e-07,2.02228281131661e-06,6.90866940421589e-06,8.37607214184806e-05,0.000210432549484758
"135",-4.866,8.0093414672397e-07,2.02855685526231e-06,6.93010242874918e-06,8.40204200983926e-05,0.000211084358692635
"136",-4.865,8.03419033646617e-07,2.03485036384557e-06,6.95160194215272e-06,8.42809234462015e-05,0.000211738183624176
"137",-4.864,8.05911629847462e-07,2.0411633974517e-06,6.97316815066387e-06,8.45422339519157e-05,0.000212394030493239
